characters_arzt;Arzt
sequences_a05_frachtraum_taschenlampe_ex_1#4;[From now on, Ohi has the flashlight in his hand, with which he can illuminate the environment.]
spokentexts_a05_frachtraum_taschenlampe_ex_2_st_1;Je ne serais pas incapable de voir quoi que ce soit dans la cale sans une lampe de poche.
spokentexts_a05_frachtraum_taschenlampe_ex_2_st_2;Mais même avec une lampe de poche, c'est plutôt flippant ici.
texts_a05_frachtraum_truhe_mo_ex_1__2;Examiner le coffre
texts_a05_frachtraum_truhe_mo_use_1;Ouvrir le coffre
spokentexts_a05_frachtraum_truhe_ex_1_st_2_direction;makes up his courage
spokentexts_a05_frachtraum_truhe_ex_1_st_2;Ahem.
spokentexts_a05_frachtraum_truhe_ex_1_st_3_direction;loud
spokentexts_a05_frachtraum_truhe_ex_1_st_3;Il y a quelqu'un ?!
spokentexts_a05_frachtraum_truhe_ex_1_st_4_direction;loud
spokentexts_a05_frachtraum_truhe_ex_1_st_4;Sortez !
sequences_a05_frachtraum_truhe_ex_1#6;[No reaction.]
spokentexts_a05_frachtraum_truhe_ex_2_st_1;Je suis sûr que quelqu'un était dans le camion. Mais où sont-ils maintenant ?
spokentexts_a05_frachtraum_truhe_use_1_st_3_direction;loud
spokentexts_a05_frachtraum_truhe_use_1_st_3;C'est terminé ! J'... J'ouvre le coffre.
sequences_a05_frachtraum_truhe_use_1#6;[Ohi is anxious (funny), tried to open the chest. Finally he opens the lid, lit inside. The chest is empty.]
sequences_a05_frachtraum_truhe_use_1#12;[Somewhere in the cargo room is a glass bottle and will break.]
sequences_a05_frachtraum_truhe_use_1#13;[Ohi goes around fast and pulls the torch high (idle).]
spokentexts_a05_frachtraum_truhe_use_1_st_8_direction;anxious
spokentexts_a05_frachtraum_truhe_use_1_st_8;Y'a- Y'a quelqu'un ?
sequences_a05_frachtraum_truhe_use_1#15;[Ohi let the flashlight slowly sink.]
texts_a05_spint_rechts_mo_ex_1;Fouiller dans le casier.
spokentexts_a05_spint_rechts_ex_1_st_1;La porte de ce casier est entrouverte...
sequences_a05_spint_rechts_ex_1#2;[Ohi imagines the locker, gathers his courage and pulls the door. The locker is empty and Ohi calms down. He will then return back to normal.]
spokentexts_a05_spint_rechts_ex_1_st_2;Vide.
texts_a05_spinte_links_mo_ex_1;Fouiller dans le casier.
sequences_a05_spinte_links_ex_1#1;[Ohi is trying to open one of the lockers. But Locked.]
spokentexts_a05_spinte_links_ex_1_st_1;Hmm. Les trois autres casiers sont verrouillées.
sequences_a05_frachtraum_seq_a05_frachtraum_betreten#0;[The door of the cargo space opens hard and squeaky. Ohi enters the room and closes the door again.]
sequences_a05_frachtraum_seq_a05_frachtraum_betreten#1;[Ohi enters the railing and looks down into the big cargo space.]
sequences_a05_frachtraum_seq_a05_frachtraum_betreten#3;[Ohi walks down the stairs.]
sequences_a05_frachtraum_seq_a05_frachtraum_betreten#4;[The large dormer windows of the room are closed.]
spokentexts_a05_frachtraum_seq_a05_frachtraum_betreten_st_1_direction;slightly worried
spokentexts_a05_frachtraum_seq_a05_frachtraum_betreten_st_1;Oh non.
sequences_a05_frachtraum_seq_a05_frachtraum_betreten#5;[As Ohi has reached the end of the stairs, the hatches are shut and it is very dark.]
sequences_a05_frachtraum_seq_a05_frachtraum_dunkle_ecke_betreten#0;[Ohi stops.]
spokentexts_a05_frachtraum_seq_a05_frachtraum_dunkle_ecke_betreten_st_1;Il fait trop sombre là-dedans !
spokentexts_a05_frachtraum_seq_a05_frachtraum_dunkle_ecke_betreten_st_2;J'arrive même pas a voir ma main devant mon visage, alors chercher des indices !
texts_a05_pier_ausgang_shot_baronin_mo_leave_1;Se diriger vers le navire
sequences_a05_pier_ausgang_shot_baronin_leave_1#1;[Ohis glance happens to fall on the opera glasses, lying on the floor.]
spokentexts_a05_pier_ausgang_shot_baronin_leave_1_st_1;Qu'est-ce que c'est ? Ahh !
sequences_a05_pier_ausgang_shot_baronin_leave_1#3;"[Now the ""Ohi taking the opera glasses on"" sequence.]"
texts_a05_pier_auto_der_jungen_frau_mo_ex_1;Regarder le cabriolet
texts_a05_pier_auto_der_jungen_frau_mo_ex_2;Regarder la conductrice
spokentexts_a05_pier_auto_der_jungen_frau_ex_1_st_1_direction;appreciative whistles
spokentexts_a05_pier_auto_der_jungen_frau_ex_1_st_1;*sifflement*
spokentexts_a05_pier_auto_der_jungen_frau_ex_1_st_2;Belle voiture.
spokentexts_a05_pier_auto_der_jungen_frau_ex_1_st_3;Mais rien comparé à la jeune femme à qui elle appartient.
spokentexts_a05_pier_auto_der_jungen_frau_ex_2_st_1;Qui pourrait-elle être ?
spokentexts_a05_pier_auto_der_jungen_frau_ex_2_st_2;Une actrice ?
spokentexts_a05_pier_auto_der_jungen_frau_ex_2_st_3;La fille d'un millionnaire ?
spokentexts_a05_pier_auto_der_jungen_frau_ex_2_st_4;Elle est certainement le centre de beaucoup d'attention.
texts_a05_pier_koffer_der_jungen_frau_mo_ex_1;Examiner les bagages
texts_a05_pier_koffer_der_jungen_frau_mo_ex_2;Fouiller les bagages
spokentexts_a05_pier_koffer_der_jungen_frau_ex_1_st_1;Étonnant de voir autant de bagages pour si peu de passagers.
spokentexts_a05_pier_koffer_der_jungen_frau_ex_1_st_2;Et je pense que les trois quarts  appartiennent à cette femme.
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_1;Je vais jeter un coup d'oeil discret de plus près...
sequences_a05_pier_koffer_der_jungen_frau_ex_2#2;[Ohi goes quitly to the suitcases, he's doing so, as if his shoe is open and squats beside the door of the car.]
sequences_a05_pier_koffer_der_jungen_frau_ex_2#3;[Cut to Ohi next to the door.]
sequences_a05_pier_koffer_der_jungen_frau_ex_2#4;[Ohi examined the suitcase. Suddenly the door of the car opens and hit him on the head.]
sequences_a05_pier_koffer_der_jungen_frau_ex_2#5;[Cut to the driver.]
sequences_a05_pier_koffer_der_jungen_frau_ex_2#6;[The driver wants to exit, smiles. Obviously she saw Ohi.]
sequences_a05_pier_koffer_der_jungen_frau_ex_2#7;[Cut to the car.]
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_2;Ohh !
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_3;Je suis désolée !
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_4;Je ne m'attendais pas à ce qu'il y ai quelqu'un rampant sur le sol devant ma porte.
sequences_a05_pier_koffer_der_jungen_frau_ex_2#11;[Ohi has not really hurt. He's scared and is rather embarrassed. He stands up, looks around to make sure no one saw anything. He cleans his clothes.]
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_5;Ne vous en faites pas, mademoiselle.
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_6;Il n'y a pas de mal.
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_7;Heureuse de l'entendre, Mr...
sequences_a05_pier_koffer_der_jungen_frau_ex_2#15;[The young woman stretches out her hand to Ohi, he helps her to climb out of the car.]
spokentexts_a05_pier_koffer_der_jungen_frau_ex_2_st_8;Zellner. Anton Jakob Zellner.
sequences_a05_pier_koffer_der_jungen_frau_ex_2#17;[The young woman gets her hands on the suitcases on the backsears, as she talks with Ohi (idle).]
texts_a05_pier_kran_mo_ex_1;Regarder la grue
spokentexts_a05_pier_kran_ex_1_st_1;Dans mes jeunes années, j'aurais peut-être envisagé de descendre en rappel par la grue sur le navire.
spokentexts_a05_pier_kran_ex_1_st_2;Mais ces années sont passé depuis bien longtemps.
texts_a05_pier_meer_mo_ex_1__2;Profiter de la vue
spokentexts_a05_pier_meer_ex_1_st_1;La mer est calme aujourd'hui. Des conditions idéales pour une croisière.
spokentexts_a05_pier_meer_ex_2_st_1;Malheureusement, je n'ai pas eu le temps de visiter les sites touristiques de Venise. La paperasse donnée par mes collègues italiens a pris presque toute la journée.
texts_a05_pier_opernglas_mo_ex_1;Examiner les jumelles
texts_a05_pier_opernglas_mo_inventar;Jumelles
texts_a05_pier_opernglas_mo_take_1;Regarder à travers les jumelles
spokentexts_a05_pier_opernglas_ex_1_st_1;Lunettes d'opéra de la baronne.
spokentexts_a05_pier_opernglas_ex_1_st_2;"Elle doit les avoir abandonné alors qu'elle a eu son... ""moment""."
spokentexts_a05_pier_opernglas_ex_2_st_1;Je vais rendre ces lunettes d'opéra à la baronne ou son majordome James dès que j'en aurai l'occasion.
sequences_a05_pier_opernglas_take_1#3;[Cut. We see now through the opera glasses. Ohi moves the opera glasses independently, ie, the subject automatically scrolls here and there.]
sequences_a05_pier_opernglas_take_1#4;[Cool would be if the image was blurred in between and especially at the beginning and Ohi it focuses.]
sequences_a05_pier_opernglas_take_1#5;[Ohi focus the image sharp, clooks at the ship. His look remained on the captain.]
sequences_a05_pier_opernglas_take_1#6;[The butler and the Baroness have just arrived to the captain. He is worried, helps the Baroness, pointing toward her cabin. She don't want to let help her, but goes away with the butler.]
sequences_a05_pier_opernglas_take_1#7;[The scene moves to the side.]
sequences_a05_pier_opernglas_take_1#8;[The investigator and the doctor talk.]
spokentexts_a05_pier_opernglas_take_1_st_2;Aucun d'eux ne semble avoir remarqué ce qui s'est passé ici.
sequences_a05_pier_opernglas_take_1#10;[The scene moves somewhere else.]
sequences_a05_pier_opernglas_take_1#11;[The violinist obviously trying to make the young woman. She is not interested and leaves him.]
spokentexts_a05_pier_opernglas_take_1_st_3;Hé.
spokentexts_a05_pier_opernglas_take_1_st_4;Vous allez avoir un moment difficile avec elle.
sequences_a05_pier_opernglas_take_1#14;[A palette that is transported by a crane into the cargoroom, pushes itself into the picture. Ohi focus. We see that a piece of clothing caught under the tap and is half hanging out.]
spokentexts_a05_pier_opernglas_take_1_st_6_direction;Whistles (Interested!)
spokentexts_a05_pier_opernglas_take_1_st_6;*sifflement*
sequences_a05_pier_opernglas_take_1#18;[Cut back to Ohi.]
sequences_a05_pier_opernglas_take_1#19;[Ohi takes down the opera glass, takes it.]
spokentexts_a05_pier_opernglas_take_1_st_9;Comment monter à bord sans billet... Hmm. Pas génial mais c'est une possibilité.
texts_a05_pier_wagen_der_baronin_mo_ex_1;Regarder la voiture
spokentexts_a05_pier_wagen_der_baronin_ex_1_st_1;C'est une belle automobile !
spokentexts_a05_pier_wagen_der_baronin_ex_1_st_2;Mais même une berline imposante comme ça pourrait transporter tous les bagages de la baronne.
spokentexts_a05_pier_wagen_der_baronin_ex_1_st_3;Elle a eu la chance que les deuxième et troisième wagons de marchandises n'ont pas été enterrés dans le tunnel.
spokentexts_a05_pier_wagen_der_baronin_ex_1_st_4;La plupart des ses affaires sont resté indemne.
texts_a05_pier_zugang_zum_schiff_mo_betrchten_1;Regarder la passerelle
texts_a05_pier_zugang_zum_schiff_mo_leave_1__2;Monter à bord
spokentexts_a05_pier_zugang_zum_schiff_ex_1_st_1_direction;convinced
spokentexts_a05_pier_zugang_zum_schiff_ex_1_st_1;Je vais traverser cette passerelle, quoi qu'il arrive.
spokentexts_a05_pier_zugang_zum_schiff_ex_1_st_3;Quelqu'un doit arrêter ce foutu kamikaze bombe avant qu'il ne mette en danger plus de personnes.
spokentexts_a05_pier_zugang_zum_schiff_leave_1_st_1;Je ne veux pas courir voir Legrand avant d'avoir quelque chose de nouveau à signaler, sinon, il va me renvoyer à terre !
spokentexts_a05_pier_zugang_zum_schiff_leave_2_st_1;Le comportement de la baronne semble assez suspect.
spokentexts_a05_pier_zugang_zum_schiff_leave_2_st_2;Mais je doute que ce serait l'intérêt de Legrand.
sequences_a05_pier_zugang_zum_schiff_leave_3#1;[Ohi starts to go up the gangway.]
spokentexts_a05_pier_zugang_zum_schiff_leave_4_st_1;Legrand a pris sa décision. Je ne peux pas rien changer à ça avec des mots, mais avec des résultats.
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#0;[We see a shot of the car and Venice in the background.]
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#1;[The car with the investigators and Ohi drives  to the pier.]
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#2;[Shot on the pier. You can see the ship, people who load goods, passengers, etc.]
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#3;[The car stops. The security guard noticed the arrival of the car and walks up to the car. The investigator gets out.]
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#4;[Cut back to the car.]
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#5;[Ohi and the investigator gets out. The guard comes to the investigator, he has a note in his hand and gives it to the investigator.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_1;Inspecteur Legrand !
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_2;Un télégramme urgent de Paris !
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#8;[The inspector takes the paper, folded to him and reads (idle).]
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#9;[Ohi goes around the car. The face expression of the investigator darkens.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_3;De mauvaises nouvelles ?
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#11;[The investigator lets the letter down, goes with the letter in his hand and takes a few steps to the harbor along. Ohi and the security guard are going with him.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_4;C'est au sujet des... des événements malheureux... dans le train. Je dois retourner à Paris et m'expliquer.
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_5_direction;indignantly
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_5;Mais monsieur ! Et pour l'Oeil ?
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#14;[Cut to the vault that is being hoisted onto the ship.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_6;Ils veulent informer les autorités égyptiennes qu'il pourrait y avoir une tentative de cambriolage.
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_7_direction;stunned
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_7;Pourrait ?!
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_8;Les autorités égyptiennes ? Et si le bijou est volé en mer ?
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#18;[Cut back to the three.]
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#19;[The investigator stands still as the other two.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_9;Je sais, je sais.
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#21;[The investigator crumples the telegram and threw the paper into the water.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_10_direction;to the guard
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_10;Je n'ai jamais rien reçu.
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_11;Gardez un oeil sur le chargement de l'Oeil, Robert.
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#24;[Cut to the guard.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_12_direction;pleased
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_12;Oui, monsieur.
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#26;[The guard saluted slighlty then throws a derogatory view to Ohi, smile faked.]
spokentexts_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft_st_13;C'était un plaisir de vous rencontrer, Officier Zellner.
sequences_a05_pier_kleidungsstuecke_seq_a05_pier_ankunft#28;[Cut back to the investigator and Ohi. The guard goes out of the picture.]
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_1;Oh, je viens de me souvenir...
sequences_a05_pier_seq_a05_pier_arzt_geht_an_board#1;[The doctor reaches into his pocket, pulls out Ohis pill box and gives it out to Ohi (idle).]
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_2;Nous avons trouvé ça dans le tunnel. Ce sont les vôtres ?
sequences_a05_pier_seq_a05_pier_arzt_geht_an_board#3;[Ohi takes the can, looks at it in his hand (idle).]
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_3;J'en ai bien peur.
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_4;De la strophantine... Avez-vous des problèmes cardiaques ?
sequences_a05_pier_seq_a05_pier_arzt_geht_an_board#6;[Ohi nods. It is hard for him.]
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_5;Hmm.
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_6;C'est peut-être mieux que vous ne veniez pas. Trop d'excitation pourrait être mauvais pour votre santé.
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_7_direction;sarcastic
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_7;Vous voulez dire que si je restais tranquille, j'aurai probablement encore quelques belles années à vivre ?
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_8_direction;did not understand him
spokentexts_a05_pier_seq_a05_pier_arzt_geht_an_board_st_8;C'est vrai ! Gardez la tête haute !
sequences_a05_pier_seq_a05_pier_arzt_geht_an_board#11;[The doctor holds Ohi friendly on his shoulder, then turns and walks up the ramp.]
sequences_a05_pier_seq_a05_pier_arzt_geht_an_board#12;[Ohi stops, still considering the pills. Then he made a decision. He throws it into the sea.]
sequences_a05_pier_seq_a05_pier_arzt_geht_an_board#13;[Cut back to the shot.]
sequences_a05_pier_seq_a05_pier_ermittler_geht_an_bord#0;[The investigator goes on board, while Ohi lags and ponders.]
spokentexts_a05_pier_seq_ohi_nimmt_opernglas_auf_st_1;Qui ou qu'est-ce qu'elle regardait ?
sequences_a05_pier_seq_ohi_nimmt_opernglas_auf#1;[Ohi takes the opera glasses, the Baroness has dropped and holds it in front of his eyes.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_a_st_1;James ? James ! Où diable êtes-vous ?
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_a_st_2;Bonjour, Baronne !
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_a_st_3;Ah ! Inspecteur !
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_a_st_4;Officier.
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_a_st_5;Balivernes ! Vous ne serez pas officier beaucoup plus longtemps !
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_a_st_6;Quand ils découvriront comment vous avez sauvé ce petit garçon, ils vous promouvront Inspecteur !
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_a#6;[Ohi bowing slightly.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_a_st_7;C'est très aimable à vous de le dire, Baronne.
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#0;[The butler appears behind the Baroness. The Baroness turns to him.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_1;James ! Vous êtes là !
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_2;Est-ce à l'inspecteur de porter mes bagages sur le bateau tout seul ?
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#3;[The Baroness turns with sweeping gesture to the ship, with an opera glass she looked for the first time at the ship.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_3;Euhh... Eh bien en fait...
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_4_direction;stifled cry
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_4;AHHH !
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#6;[The Baroness collapses into itself. The butler tries to keep her, but he can not with just one arm. When she is falling down her opera glasses falls from her hand.]
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#7;[Ohi jumps on her, kneels beside her and helps her.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_5;Baronne !
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_6;Baronne ? Pouvez-vous m'entendre ?
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_7;Elle s'est évanouie!
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_8_direction;stammers fainting
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_8;Non... Non !
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_9;Baronne ?
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#13;[Ohi gives her a soft slap. Even more than you would do normally.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_10;Une autre. Plus forte !
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#15;[Ohi wants to slap, but as the baroness regains consciousness. Ohi lowers the arm.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_11;Hé ho ? Vous m'entendez ?
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_12_direction;confused
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_12;Je...
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#18;[The Baronessis  looking around uncertainly. Only now she seems to recognize where she is.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_13;Aidez-moi !
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_14;Nous devrions peut-être...
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_15;Maintenant !
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#22;[The Butler and Ohi join forces to straighten the Baroness again.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_16;Je vais chercher le Dr Gebhardt...
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_17_direction;weak
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_17;Non, non.
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_18_direction;weak
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_18;Pas de docteur.
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_19;C'est juste un petit moment de faiblesse.
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_20;Votre bras, James. Emmenez-moi sur le navire.
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_21;Mais bien sûr, madame.
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#29;[The Butler supports the Baroness, and together they go to the ship.]
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#30;[Cut to Ohi. He looks around.]
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_22;"Ce n'était pas ""un petit moment de faiblesse"". Elle a vu quelque chose qui l'a choquée. Ou quelqu'un."
spokentexts_a05_pier_seq_a05_pier_ohnmacht_baronin_b_st_23;Très intéressant.
